symbol,cluster_id,squeeze_timestamp,squeeze_score,conditions,adx,h4_trend_bias,d1_trend_bias,h4_ma_slope,d1_ma_slope,anchor_range_pct,breakout_timestamp,breakout_direction,breakout_bar_idx,entry_price,returns_1bar,returns_5bar,returns_10bar,returns_20bar,max_drawdown_pct,max_runup_pct,hit_1r,hit_2r,hit_3r,stop_triggered,stop_after_entry,stop_bar_idx,pnl_5bar,pnl_10bar,pnl_20bar
UK100,UK100_20251230_07,2025-12-30 07:00:00,3,BB+Pivot+SR,29.919299137679484,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.41927662153970496,2025-12-30 10:00:00,up,3,9932.0,0.0,0.1661296818364881,0.3725332259363673,0.24667740636327026,0.0,0.38763592428513893,True,False,False,False,False,,0.1661296818364881,0.3725332259363673,0.24667740636327026
UK100,UK100_20251231_11,2025-12-31 11:00:00,3,BB+Pivot+SR,28.886485351368936,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.6135894985666147,2026-01-02 08:00:00,up,9,10063.0,0.0,-0.7105237006856802,-0.7651793699691941,-0.2037165855112789,-0.8446785252906689,0.0,False,False,False,False,False,,-0.7105237006856802,-0.7651793699691941,-0.2037165855112789
UK100,UK100_20260113_02,2026-01-13 02:00:00,3,BB+Pivot+SR,25.19012239980425,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.5568971465181607,2026-01-14 08:00:00,up,26,10170.0,0.0,0.10324483775811209,0.10816125860373647,0.3736479842674533,-0.03933136676499509,0.6047197640117994,True,False,False,False,False,,0.10324483775811209,0.10816125860373647,0.3736479842674533
UK100,UK100_20260113_08,2026-01-13 08:00:00,3,BB+Pivot+SR,29.550053004251126,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.5567050940979407,2026-01-14 08:00:00,up,20,10170.0,0.0,0.10324483775811209,0.10816125860373647,0.3736479842674533,-0.03933136676499509,0.6047197640117994,True,False,False,False,False,,0.10324483775811209,0.10816125860373647,0.3736479842674533
UK100,UK100_20260113_14,2026-01-13 14:00:00,3,BB+Pivot+SR,27.466125580982485,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.32603863063775135,2026-01-14 07:00:00,up,13,10161.5,0.0,0.1082517344880185,0.12793386803129458,0.6101461398415589,0.0,0.6888746740146632,True,True,False,False,False,,0.1082517344880185,0.12793386803129458,0.6101461398415589
UK100,UK100_20260114_05,2026-01-14 05:00:00,2,BB+ADX<20,19.848318777058402,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.5913951998422946,2026-01-14 08:00:00,up,3,10170.0,0.0,0.10324483775811209,0.10816125860373647,0.3736479842674533,-0.03933136676499509,0.6047197640117994,True,False,False,False,False,,0.10324483775811209,0.10816125860373647,0.3736479842674533
UK100,UK100_20260114_14,2026-01-14 14:00:00,2,BB+ADX<20,19.733887796993717,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.8115286248278576,2026-01-14 18:00:00,up,4,10210.0,0.0,0.14691478942213515,-0.01958863858961802,0.1811949069539667,-0.11753183153770813,0.4015670910871695,False,False,False,False,False,,0.14691478942213515,-0.01958863858961802,0.1811949069539667
UK100,UK100_20260116_07,2026-01-16 07:00:00,2,BB+ADX<20,19.38904706180406,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.7872090749070996,2026-01-19 01:00:00,down,14,10165.0,0.0,0.1967535661583866,0.004918839153959666,0.1426463354648303,-0.4722085587801279,0.0,False,False,False,False,False,,-0.1967535661583866,-0.004918839153959666,-0.1426463354648303
UK100,UK100_20260116_13,2026-01-16 13:00:00,4,BB+Pivot+SR+ADX<20,16.055894262863912,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.4548789435069699,2026-01-19 01:00:00,down,8,10165.0,0.0,0.1967535661583866,0.004918839153959666,0.1426463354648303,-0.4722085587801279,0.0,False,False,False,False,False,,-0.1967535661583866,-0.004918839153959666,-0.1426463354648303
UK100,UK100_20260116_19,2026-01-16 19:00:00,4,BB+Pivot+SR+ADX<20,15.523668788881636,bearish,neutral,-0.09373900554721452,0.09312559409786039,0.45345945682383343,2026-01-19 01:00:00,down,2,10165.0,0.0,0.1967535661583866,0.004918839153959666,0.1426463354648303,-0.4722085587801279,0.0,False,False,False,False,False,,-0.1967535661583866,-0.004918839153959666,-0.1426463354648303
