setup_id,symbol,timestamp,squeeze_score,conditions,adx,h4_trend_bias,d1_trend_bias,h4_bar_time,d1_bar_time,data_warning,anchor_range_pct,cluster_id
EURUSD_setup_000073_202508210200,EURUSD,2025-08-21 02:00:00,3,BB+SR+ADX<20,15.354188165417003,bearish,neutral,2025-08-21 00:00:00,2025-08-21,,0.4336141092020641,EURUSD_20250821_02
EURUSD_setup_000074_202508210800,EURUSD,2025-08-21 08:00:00,3,BB+SR+ADX<20,15.409796550761511,bearish,neutral,2025-08-21 08:00:00,2025-08-21,,0.41786434424470625,EURUSD_20250821_08
EURUSD_setup_000075_202508220900,EURUSD,2025-08-22 09:00:00,2,BB+SR,36.06363994097066,bearish,bullish,2025-08-22 08:00:00,2025-08-22,,0.5777804606721163,EURUSD_20250822_09
EURUSD_setup_000076_202508251400,EURUSD,2025-08-25 14:00:00,2,BB+SR,29.148168718421015,bullish,bullish,2025-08-25 12:00:00,2025-08-25,,0.46280058513049216,EURUSD_20250825_14
EURUSD_setup_000077_202508262100,EURUSD,2025-08-26 21:00:00,2,ADX<20+ADX<13,12.789933231555334,neutral,bullish,2025-08-26 20:00:00,2025-08-26,,0.5418820740944332,EURUSD_20250826_21
EURUSD_setup_000078_202508270300,EURUSD,2025-08-27 03:00:00,2,BB+ADX<20,14.997529841794666,neutral,bullish,2025-08-27 00:00:00,2025-08-27,,0.5428050375060248,EURUSD_20250827_03
EURUSD_setup_000079_202508290500,EURUSD,2025-08-29 05:00:00,2,BB+SR,23.568378478079836,neutral,bullish,2025-08-29 04:00:00,2025-08-29,,0.47216699801192025,EURUSD_20250829_05
EURUSD_setup_000080_202508291100,EURUSD,2025-08-29 11:00:00,2,BB+SR,22.74799369737718,bullish,bullish,2025-08-29 08:00:00,2025-08-29,,0.3541234373124318,EURUSD_20250829_11
EURUSD_setup_000081_202509011900,EURUSD,2025-09-01 19:00:00,2,BB+SR,29.896521940660715,bullish,neutral,2025-09-01 16:00:00,2025-09-01,,0.42262540021344797,EURUSD_20250901_19
EURUSD_setup_000082_202509020100,EURUSD,2025-09-02 01:00:00,2,BB+SR,25.782369015991673,bullish,neutral,2025-09-02 00:00:00,2025-09-02,,0.34007792740445963,EURUSD_20250902_01
