min_score,max_wait,min_atr,require_structural,setups,breakouts,breakout_rate,win_rate_5bar,win_loss_ratio,expectancy,hit_1r,stop_rate,validation,score
4,15,0.5,True,576,217,0.3767361111111111,0.4700460829493088,1.1065368168708205,-0.002617598307320723,0.16129032258064516,0.16129032258064516,暂不建议进入实盘,-0.06282235937569736
4,20,0.1,False,576,451,0.7829861111111112,0.5343680709534369,0.9546583145984773,0.01130412645203241,0.164079822616408,0.24390243902439024,逻辑需要调整,0.2712990348487778
4,20,0.1,True,576,451,0.7829861111111112,0.5343680709534369,0.9546583145984773,0.01130412645203241,0.164079822616408,0.24390243902439024,逻辑需要调整,0.2712990348487778
4,20,0.25,False,576,372,0.6458333333333334,0.5161290322580645,0.9928469152128961,0.007172868363728366,0.18548387096774194,0.22580645161290322,逻辑需要调整,0.17214884072948078
4,20,0.25,True,576,372,0.6458333333333334,0.5161290322580645,0.9928469152128961,0.007172868363728366,0.18548387096774194,0.22580645161290322,逻辑需要调整,0.17214884072948078
4,20,0.5,False,576,267,0.4635416666666667,0.49812734082397003,1.1871582390871014,0.022685987483794162,0.1797752808988764,0.19850187265917604,逻辑需要调整,0.5444636996110599
4,20,0.5,True,576,267,0.4635416666666667,0.49812734082397003,1.1871582390871014,0.022685987483794162,0.1797752808988764,0.19850187265917604,逻辑需要调整,0.5444636996110599
4,30,0.1,False,576,505,0.8767361111111112,0.5326732673267327,1.0283385811800225,0.01937843516539138,0.15643564356435644,0.3346534653465347,逻辑需要调整,0.46508244396939313
4,30,0.1,True,576,505,0.8767361111111112,0.5326732673267327,1.0283385811800225,0.01937843516539138,0.15643564356435644,0.3346534653465347,逻辑需要调整,0.46508244396939313
4,30,0.25,False,576,445,0.7725694444444444,0.5123595505617977,1.0687961802147588,0.01440484619403029,0.1842696629213483,0.32134831460674157,逻辑需要调整,0.345716308656727
4,30,0.25,True,576,445,0.7725694444444444,0.5123595505617977,1.0687961802147588,0.01440484619403029,0.1842696629213483,0.32134831460674157,逻辑需要调整,0.345716308656727
4,30,0.5,False,576,357,0.6197916666666666,0.5042016806722689,1.2179359513406374,0.029909630390894698,0.18487394957983194,0.28291316526610644,逻辑需要调整,0.7178311293814728
4,30,0.5,True,576,357,0.6197916666666666,0.5042016806722689,1.2179359513406374,0.029909630390894698,0.18487394957983194,0.28291316526610644,逻辑需要调整,0.7178311293814728
